text,label,checkthat2019,claimrank,claimbuster,checkthat2021,germeval
"India's gift of 100,000 COVID-19 vaccines arrived Barbados earlier today. This was a very special moment for all Barbadians and I want to thank Prime Minister Modi for his quick, decisive, and magnanimous action in allowing us to be the beneficiary of these vaccines. https://t.co/cSCb40c2mt",0,0,0,1,0,1
"As part of the ongoing nationwide vaccination rollout that has seen more than 230,000 people vaccinated, President Kagame and First Lady Jeannette Kagame received their #COVID-19 vaccines at King Faisal Hospital. https://t.co/OylatTad9W",0,0,1,1,0,1
"Pleased to receive 50,000 doses of Covid-19 vaccines from India 🇮🇳this morning. Govt of Rwanda 🇷🇼 is grateful to the Govt of India 🇮🇳 and other partner countries for their valuable contribution to the fight against #COVID19 @DrSJaishankar",0,0,0,1,0,1
Four former presidents have banded together for two national ad campaigns released Thursday designed to drive trust in COVID-19 vaccines — and they're all pictured getting inoculated against the virus https://t.co/nG9V6jalhl,0,0,1,1,0,1
"WSJ: All three of Russia's main intelligence services (SVR, FSB, and GRU) ran fake news sites and phony social media accounts to spread misinformation about Pfeizer and Moderna vaccines in an attempt to undermine confidence in them. https://t.co/t3kmCYvBFs via @WSJ",1,0,1,1,0,1
Joel Embiid will donate his $100K ASW earnings to three homeless shelters in Philly to help provide: -Meals -Clothing items -Treatment and care for those who get COVID-19 vaccines -Funds for a summer camp -Shelter for 300+ teens -Support for formerly homeless families 🙏 https://t.co/MlYyAC3E8j,0,0,0,1,0,1
“Action can be taken now to ensure that Canada can produce its own vaccines without the need to solely rely on international partners.” @Mossmanlab makes the case for @MacGlobalNexus Fitzhenry Vector Lab to produce COVID-19 vaccine doses for all Canadians. https://t.co/J3Nvb5faq6,0,0,0,1,0,1
Those who falsely claim Vaccines are 100% safe and who laugh at anti-vaxxers will be dependent on those who refuse to tell the official lies to say that wide-spread vaccination *is* critical. 23 die in Norway after receiving COVID-19 vaccine: https://t.co/eN10HwZvqW via @nypost,1,0,0,1,0,1
"Additionally, beginning Monday, April 5, all Michiganders age 16+ who were not previously eligible will be eligible to receive a vaccine. This is exciting news, and I urge all eligible Michiganders to get one of the three safe and effective COVID-19 vaccines.",0,0,0,1,0,1
The EU and Italy have blocked AstraZeneca’s COVID-19 vaccine shipment destined for Australia after the drug manufacturer failed to deliver the doses it promised Europe. https://t.co/GEMOlMwhkW,0,0,1,1,0,1
"This week, team @OSUWexMed administered some of the first Johnson &amp; Johnson COVID-19 vaccines -- the only single-dose shot authorized by the FDA. We're working to ramp up its production because a third safe and effective vaccine means we can vaccinate more people more quickly. https://t.co/fAdDViMlg8",0,0,0,1,0,1
"NC is ranked #1 in the US for vaccinations of adults over 65. Way to go NC! I am so proud of our vaccine providers across North Carolina, and the amazing team at @NCDHHS, for all their hard work getting vaccines into arms quickly and equitably.   https://t.co/muMgDxcMN9",0,0,0,1,0,1
"All three vaccines authorized in the U.S. — made by Johnson &amp; Johnson, Moderna, and Pfizer and BioNTech — greatly reduce the risk of getting Covid-19. They also have a high efficacy against more serious outcomes like hospitalization and death. See more: https://t.co/N1it9ZKnQW",0,0,1,1,0,1
"In simulations, “getting people vaccinated sooner with a lower efficacy vaccine prevented many more Covid-19 cases, hospitalizations and deaths compared to waiting even just a month for a higher efficacy vaccine.” https://t.co/uu3OXX8zVk",0,1,1,1,0,1
"The Navajo Nation has surpassed its goal of administering 100,000 COVID-19 vaccines by the end of February, a figure that represents over half of its residents. Our work to increase supply, increase places to get vaccinated, and increase vaccinators is making a difference.",0,0,1,1,0,1
"CVS has nearly doubled the number of states where its pharmacies are offering Covid-19 vaccinations through Biden’s federal retail pharmacy program, CVS said in a statement. It is now offering Covid-19 vaccines in 29 states and Puerto Rico.",0,0,1,1,0,1
"Alaska has become the first state to drop eligibility requirements for Covid-19 vaccines and allow anyone 16 or older who lives or works in the state to get a vaccine, Gov. Dunleavy says. https://t.co/32DSapyzsA",0,0,1,1,0,1
President Biden announced expanded anti-covid vaccines and that all adults will be eligible by May 1. My Cinco de Mayo birthday wish is now one shot vaccine and one shot tequila.,0,0,1,1,0,1
"The good news! Rating agency Moody's projects India to grow at 13.7% in FY2022, up from 10.8% estimated earlier. The revised numbers came on the back of normalisation of activity and growing confidence in the market with the rollout of Covid-19 vaccines. https://t.co/lppBy9W8Bj",0,1,0,1,0,1
"It was great to be in Sumterville today to announce a new drive-thru vaccination site which will provide 3,000 Johnson &amp; Johnson vaccines to Floridians 65 and older over the next three days. #SeniorsFirst. More here - https://t.co/H80UiLdFsp https://t.co/lxNOgW4tdp",0,0,0,1,0,1
We have reached an agreement with BioNTech-Pfizer for the supply of four million more doses of COVID-19 vaccines for EU countries in the next two weeks. This will help tackle coronavirus hotspots and facilitate free border movement. #StrongerTogether,0,0,0,1,0,1
"In 1956, Elvis was vaccinated backstage at @EdSullivanShow, inspiring thousands to get the polio vaccination. With COVID-19 vaccines becoming available and many American's uncertain, three former presidents are talking about following in his footsteps. https://t.co/cdtuB0SsXH https://t.co/Du4HuyvmPF",0,0,1,1,0,1
"India has provided over 481 lakh doses of Covid vaccines to various countries till March 4. Out of 481.06 lakh vaccine doses sent to various countries, 73.5 lakh doses have been supplied as grant assistance, 288.4 lakh on commercial basis and 119.16 lakh doses for COVAX.",0,1,1,1,1,1
WHOOPI RECEIVES COVID-19 VACCINE: Our @WhoopiGoldberg tells us she received her first shot of the coronavirus vaccine and encourages others to do the same: “Get the shot!” Get more information on COVID-19 vaccines: https://t.co/dGwgeZLEcy https://t.co/iaQtAbSAwf,0,0,1,0,0,1
"Vaccines are extremely effective at preventing severe Covid illness and death, but no vaccine is perfect. Continue masking up.",0,1,0,0,0,1
Russian intelligence agencies have mounted a campaign to undermine confidence in Pfizer Inc.’s and other Western vaccines... https://t.co/vZEysfIJrt,1,0,1,1,0,1
Extent of damage to AstraZeneca vaccine’s perceived safety in Europe revealed % saying they would refuse this vaccine and wait for a diff one AstraZeneca 🇩🇪27% 🇫🇷22% 🇮🇹 23% 🇪🇸19% 🇬🇧2% Pfizer 🇩🇪6% 🇫🇷7% 🇮🇹 7% 🇪🇸5% 🇬🇧4% Moderna 🇩🇪12% 🇫🇷11% 🇮🇹 11% 🇪🇸6% 🇬🇧5% https://t.co/rppoUptxIO https://t.co/yY6rpEcxIJ,0,1,1,1,1,1
"Unusual swelling caused by Covid-19 vaccines is being picked up on routine mammograms and other scans, radiologists say. Here's what you can do to avoid unnecessary worries about breast and other forms of cancer when you get your vaccination. https://t.co/BxXbkaAaib",1,0,0,0,0,1
"An exciting day for us as #Uganda received the initial batch of 864,000 doses of AstraZeneca COVID-19 vaccines manufactured by the Serum Institute of India and shipped via the COVAX facility. Thank you to all who made this possible. https://t.co/g4AHCWnHzl",0,0,0,1,0,1
"I’m pleased to announce that @CVShealth will soon begin administering COVID-19 vaccines at 76 additional @CVSpharmacy locations across our state, bringing the total number of CVS vaccination locations in FL to 157 in 30 counties. More info here - https://t.co/Y3jWFaWXlz https://t.co/SWeUrGzpVh",0,0,1,1,0,1
"With three COVID-19 vaccines available and a steadily increasing supply, we are now able to open up eligibility to all phase 3 priority groups. New appointments for phase 3 will post to the portal at midnight. Learn more: https://t.co/fpMRXEua4n https://t.co/XmV50rjeU9",0,1,0,1,0,1
"Globally, the latest vaccination rate is 6,582,835 doses per day, on average. ➡️At this rate, it will take an **4.7 years** to cover 75% of the population with a two-dose vaccine. And the inequality is widening. LMIC countries need #CovidVaccine faster. https://t.co/H9GZqslstq https://t.co/dkTKn2oQlh",0,1,1,1,0,1
